KegLand Part Number,Product Name,Units Per Outter Carton/Bag,Packing size,L,W,H,VOLUME,G.W,Unit Vol,Unit Wt,20GP,40HQ,"Quantity
 per pallet","Quantity
 per carton",THE SIZE OF 1 PALLET
KL08877,Grand Deluxe 3 Kegerator 14.9 (Including Glass Door),1,130*70*108cm,1.3,0.7,1.08,0.983,,0.98,0.983,,,,,
KL08884,Grand Deluxe 3 Kegerator 17.5 (Including Glass Door) -,1,161*70*108cm,1.61,0.7,1.08,1.217,,1.22,,,,,,
KL08891,Grand Deluxe 3 Kegerator 22.9 (Including Glass Door) - 20 Keg,1,191*70*108cm,1.91,0.7,1.08,1.444,,1.44,,,,,,
KL13512,"Keg Master - Series 5 - Fridge with castor wheels, glass holder, drip tray, shelves,co2 Cylinder holder",1,,0.74,0.655,0.89,0.431,38.2,0.43,,48,162,,,
KL00086,"Keg Master - Series 4 - Fridge with castor wheels, glass holder, drip tray, shelves",1,66*70*89cm,0.66,0.7,0.89,0.411,,0.41,,48,162,,,
KL00093,"Keg Master - Series 4 - Fridge with castor wheels, glass holder, drip tray, shelves+MK4 Regulator",1,66*70*89cm,0.66,0.7,0.89,0.411,,0.41,,,,,,
KL00130,Keg Master - Series 4 Fridge+MK4 Regulator - Single Tap - Stainless Font + Intertap SS Taps,1,66*70*89cm,0.66,0.7,0.89,0.411,,0.41,,,,,,
KL00147,Keg Master - Series 4 Fridge+MK4 Regulator - Double Tap - Stainless Font + Intertap SS Taps,1,66*70*89cm,0.66,0.7,0.89,0.411,,0.41,,,,,,
KL00154,Keg Master - Series 4 Fridge+MK4 Regulator - Tripl Tap - Stainless Font + Intertap SS Taps,1,66*70*89cm,0.66,0.7,0.89,0.411,,0.41,,,,,,
KL00161,Keg Master - Series 4 Fridge+MK4 Regulator - Single Tap - Stainless Font + Intertap FC Taps,1,66*70*89cm,0.66,0.7,0.89,0.411,,0.41,,,,,,
KL00178,Keg Master - Series 4 Fridge+MK4 Regulator - Double Tap - Stainless Font + Intertap FC Taps,1,66*70*89cm,0.66,0.7,0.89,0.411,,0.41,,,,,,
KL00185,Keg Master - Series 4 Fridge+MK4 Regulator - Tripl Tap - Stainless Font + Intertap FC Taps,1,66*70*89cm,0.66,0.7,0.89,0.411,,0.41,,,,,,
KL00192,Series 4 - Replacement Wrap Around Drip Tray,50,73*42*42cm,0.73,0.42,0.42,0.129,,0.00,,,,,,
KL06057,A-Type Keg Coupler S.S (with Pressure Relief Valve),30,45*36*36CM,0.45,0.36,0.36,0.058,,0.00,,,,,,
KL08815,A-Type Keg Coupler S.S (includes 2 x Duotight KL06903),30,45*36*36CM,0.45,0.36,0.36,0.058,,0.00,,,,,,
KL10719,A-Type Keg Coupler S.S (with Pressure Relief Valve; 2 x Duotight KL06903),48,45*35*39CM,0.45,0.35,0.39,0.061,,0.00,,,,,,
KL00369,D-Type Keg Coupler S.S,48,45*36*36CM,0.45,0.36,0.36,0.058,,0.00,,,,,,
KL06071,D-Type Keg Coupler S.S (with Pressure Relief Valve),48,45*36*36CM,0.45,0.36,0.36,0.058,,0.00,,,,,,
KL08822,D-Type Keg Coupler S.S (includes 2 x Duotight KL06903),48,45*36*36CM,0.45,0.36,0.36,0.058,,0.00,,,,,,
KL00376,S-Type Keg Coupler Nicle Coated Alloy,30,38*30*29CM,0.38,0.3,0.29,0.033,,0.00,,,,,,
KL06088,S-Type Keg Coupler Nicle Coated Alloy (with Pressure Relief Valve) not available,20,,,,,,,0.00,,,,,,
KL00383,S-Type Keg Coupler S.S,20,38*30*29CM,0.38,0.3,0.29,0.033,,0.00,,,,,,
KL06095,S-Type Keg Coupler S.S (with Pressure Relief Valve),48,45*36*36CM,0.45,0.36,0.36,0.058,,0.00,,,,,,
KL08839,S-Type Keg Coupler S.S (includes 2 x Duotight KL06903),20,,,,,,,0.00,,,,,,
KL10733,S-Type Keg Coupler S.S (with Pressure Relief Valve; 2 x Duotight KL06903),48,43*35*41CM,0.43,0.35,0.41,0.062,,0.00,,,,,,
KL00413,Single Tap Brushed Stainless Font Only,9,50*50*35cm,0.5,0.5,0.35,0.088,,0.01,,,,,,
KL00420,Double Tap Brushed Stainless Font Only,9,50*50*35cm,0.5,0.5,0.35,0.088,,0.01,,,,,,
KL00437,Triple Tap Brushed Stainless Font Only,9,50*50*35cm,0.5,0.5,0.35,0.088,,0.01,,,,,,
KL15745,Quadruple Tap stainless Font Kit with SS Duotigh Short shanks and Black handles(Without Tap),6,,0.4,0.44,0.27,0.048,,0.01,,,,,,
KL05975,Replacement Cap For Stainless Font,1,,,,,0,,0.00,,,,,,
KL05982,Replacement Dust Cover for Stainless Font,100,45*24*20cm,0.45,0.24,0.2,0.022,,0.00,,,,,,
KL15806,Replacement Font seal,1,,,,,,,0.00,,,,,,
KL00444,ABS Single Tap Plastic Font Only,10,63*26*40cm,0.63,0.26,0.4,0.066,,0.01,,,,,,
KL00451,ABS Double Tap Plastic Font Only,10,63*26*40cm,0.63,0.26,0.4,0.066,,0.01,,,,,,
KL00468,ABS Triple Tap Plastic Font Only,10,63*26*40cm,0.63,0.26,0.4,0.066,,0.01,,,,,,
KL00536,Single Tap Brushed Stainless Font Kit (With Intertap PC),9,50*50*35cm,0.5,0.5,0.35,0.088,,0.01,,,,,,
KL00543,Double Tap Brushed Stainless Font Kit (With Intertap PC),9,50*50*35cm,0.5,0.5,0.35,0.088,,0.01,,,,,,
KL00550,Triple Tap Brushed Stainless Font Kit (With Intertap PC),9,50*50*35cm,0.5,0.5,0.35,0.088,,0.01,,,,,,
KL00567,Single Tap Brushed Stainless Font Kit (With Intertap SS),9,50*50*35cm,0.5,0.5,0.35,0.088,,0.01,,,,,,
KL00574,Double Tap Brushed Stainless Font Kit (With Intertap SS),9,50*50*35cm,0.5,0.5,0.35,0.088,,0.01,,,,,,
KL00581,Triple Tap Brushed Stainless Font Kit (With Intertap SS),9,50*50*35cm,0.5,0.5,0.35,0.088,,0.01,,,,,,
KL00598,Single Tap Brushed Stainless Font Kit (With Intertap FC),9,50*50*35cm,0.5,0.5,0.35,0.088,,0.01,,,,,,
KL00604,Double Tap Brushed Stainless Font Kit (With Intertap FC),9,50*50*35cm,0.5,0.5,0.35,0.088,,0.01,,,,,,
KL00611,Triple Tap Brushed Stainless Font Kit (With Intertap FC),9,50*50*35cm,0.5,0.5,0.35,0.088,,0.01,,,,,,
KL00710,"Single EVA Beer Line Set with clamps, 7 in 1 spanner (for font kit)",40,58*37*24cm,0.58,0.37,0.24,0.052,,0.00,,,,,,
KL00727,"Double EVA Beer Line Set with clamps, 7 in 1 spanner and stainless tee (for font kit) With Duotight Pushin",30,58*37*24cm,0.58,0.37,0.24,0.052,,0.00,,,,,,
KL00734,"Triple EVA Beer Line Set with clamps, 7 in 1 spanner and 2 x stainless tee (for font kit) With Duotight Pushin",30,58*37*24cm,0.58,0.37,0.24,0.052,,0.00,,,,,,
KL00741,Cobra Singal Tap Flooded Font,6,66*40*24cm,0.66,0.4,0.24,0.063,,0.01,,,,,,
KL00758,Cobra Dual Tap Flooded Font,1,64*12.5*11,0.64,0.125,0.11,0.009,,0.01,,,,,,
KL00765,Cobra Triple Tap Flooded Font,4,66*33*29cm,0.66,0.33,0.29,0.063,,0.02,,,,,,
KL00819,Font Fan Kit,24,54*39.5*31.5cm,0.54,0.395,0.315,0.067,,0.00,,,,,,
KL00826,Carbonation & Line Cleaning Cap,100,26*21*19,0.21,0.26,0.19,0.01,10.23,0.00,,,,,,
KL00888,Decal Holder Plastic 82MM Chrome,192,54*34*26cm,0.54,0.34,0.26,0.048,,0.00,,,,,,
KL00895,Decal Holder Plastic 73MM Copper,192,51*32*25cm,0.51,0.32,0.25,0.041,,0.00,,,,,,
KL00956,Stainless / Nylon Composite Pluto Gun,80,36.5*32.5*43cm,0.365,0.325,0.43,0.051,,0.00,,,,,,
KL00963,Picnic/Bronco Party Tap,500,59*36*20cm,0.59,0.36,0.2,0.042,,0.00,,,,,,
KL00970,Intertap SS (Stainless Steel),54,45*24*20cm,0.45,0.24,0.2,0.022,,0.00,,,,,,
KL00987,Intertap PC (Chrome Plated Brass),54,45*24*20cm,0.45,0.24,0.2,0.022,,0.00,,,,,,
KL01007,Intertap - FC,56,54*29*26cm,0.54,0.29,0.26,0.041,22,0.00,,,,,,
KL01014,Intertap - FCGP,56,54*29*26cm,0.54,0.29,0.26,0.041,,0.00,,,,,,
KL01137,Short Shank - Stainless Steel (6.5mm barb suit Duotight KL07481),200,25*43*26,0.25,0.43,0.26,0.028,12,0.00,,,,,,
KL07672,7 in 1 Faucet Spanner/Wrench Tool,200,27*22*9CM,0.27,0.22,0.09,0.005,,0.00,,,,,,
KL01229,Bottle Filler Beer Gun,20,43.5*30*53CM,0.435,0.3,0.53,0.069,,0.00,,,,,,
KL01243,Stainless Tee Type Counter Pressure Bottle Filler,1,47*17*6CM,0.47,0.17,0.06,0.005,,0.01,,,,,,
KL01250,S.S False Bottom 30cm (-1 x Stainless elbow bend 1/2 BSP - 2 x Stainless nut 1/2 BSP),10,32*32*5CM,0.32,0.32,0.05,0.005,,0.00,,,,,,
KL01298,BIAB - Large Grain Bag 75cmW*55cmH,150,55*41*24CM,0.55,0.41,0.24,0.054,,0.00,,,,,,
KL01335,High Pressure LPG Burner kit + Needle Valve + HP Regulator,1,0.08,######,######,######,0.08,,0.08,,330,,,,
