KegLand Part Number,Product Name,Units Per Outter Carton/Bag,Medium Price Break QTY,Large Price Break QTY,FOB (shanghai) COST Large Price Break Quantity USD,FOB (shanghai) COST Medium Price Break Quantity in USD,FOB (shanghai) COST Small Price Break Quantity in USD
KB02113,Fermzillia Red Plastic Pressure kit-G2,,100,300,$5.52,$6.18,$7.28
KL00086,"Kegerator - Series 4 - Fridge with castor wheels, glass holder, drip tray, shelves,co2 Cylinder holder",1,5,48,$163.80,$187.20,$226.20
KL00093,"Kegerator - Series 4 - Fridge with castor wheels, glass holder, drip tray, shelves+MK4 Regulator",1,5,48,$178.50,$204.00,$246.50
KL00130,Kegerator - Series 4 Fridge+MK4 Regulator - Single Tap - Stainless Font + NukaTap SS Taps,1,5,48,$208.85,$238.68,$288.41
KL00147,Kegerator - Series 4 Fridge+MK4 Regulator - Double Tap - Stainless Font + NukaTap SS Taps,1,5,48,$224.96,$257.10,$310.66
KL00154,Kegerator - Series 4 Fridge+MK4 Regulator - Triple Tap - Stainless Font + NukaTap SS Taps,1,5,48,$241.03,$275.46,$332.85
KL00161,Kegerator - Series 4 Fridge+MK4 Regulator - Single Tap - Stainless Font + NukaTap FC Taps,1,5,48,$214.73,$245.40,$296.53
KL00178,Kegerator - Series 4 Fridge+MK4 Regulator - Double Tap - Stainless Font + NukaTap FC Taps,1,5,48,$236.72,$270.54,$326.90
KL00185,Kegerator - Series 4 Fridge+MK4 Regulator - Tripl Tap - Stainless Font + NukaTap FC Taps,1,5,48,$258.67,$295.62,$357.21
KL00192,Series X & 4 - Replacement Wrap Around Drip Tray,50,5,100,$2.92,$3.26,$3.84
KL00208,Series X & 4 - Replacement Guard Rail,,5,100,$10.61,$12.12,$14.65
KL00215,Series X & 4 - Replacement Cylinder Bracket,,5,100,$2.94,$3.36,$4.06
KL00222,Replacement 1.5 inch Rubber Castor Wheels(4/set including 2 with brake),,5,100,$4.10,$4.68,$5.66
KL00239,Series 4 - 100mm Heavy Duty Castor Wheel Upgrade (4/set including 2 with brake),,5,100,$16.28,$18.60,$22.48
KL00246,Series 4 - Replacement Main Circuit Board,,5,100,$7.25,$8.28,$10.01
KL00253,Series 4 - Replacement Temp Control Circuit Board with Plastic Frame,,5,100,$4.04,$4.62,$5.58
KL00260,Series 4 - Glass Rack Holder,,5,100,$2.63,$3.00,$3.63
KL00277,Series X & 4 - Replacment Air Circulation Fan,,5,100,$11.13,$12.72,$15.37
KL00284,Series 4 - Replacement Thermistor Probe,,10,100,$0.37,$0.42,$0.51
KL00291,Series 4 - Wire Shelves,,5,100,$2.94,$3.36,$4.06
KL00307,Series X & 4 - Replacement Keypad Membrane,,5,100,$0.42,$0.48,$0.58
KL00314,Series 4 - Replacement Fridge Door,,5,100,$25.20,$28.80,$34.80
KL00321,Kegerator Water Resistant Cover for Series 4 Kegerator,,5,100,$14.18,$16.20,$19.58
KL00345,A-Type Keg Coupler S.S,20,20,100,$17.22,$19.68,$23.78
KL00352,D-Type Keg Coupler Nicle Coated Alloy,20,20,100,$10.40,$11.88,$14.36
KL00369,D-Type Keg Coupler S.S,48,48,96,$15.23,$17.40,$21.03
KL00376,S-Type Keg Coupler Nicle Coated Alloy,30,30,90,$10.29,$11.76,$14.21
KL00383,S-Type Keg Coupler S.S,20,20,100,$15.23,$17.40,$21.03
KL00390,Low Profile Elbow Bend (304 Stainless),18,18,90,$2.10,$2.40,$2.90
KL00406,5/8 Stainless Ball Valve (Female x Male) for Keg Couplers,10/100,50,300,$6.38,$7.22,$8.62
KL00413,Single Tap Brushed Stainless Font Only,9,18,63,$13.44,$15.36,$18.56
KL00420,Double Tap Brushed Stainless Font Only,9,18,63,$13.65,$15.60,$18.85
KL00437,Triple Tap Brushed Stainless Font Only,9,18,63,$13.81,$15.78,$19.07
KL00475,Single Tap Brushed Stainless Font Kit with SS Duotigh Shot shank and Black handle (Without Tap),9,18,63,$20.06,$22.92,$27.70
KL00482,Double Tap Brushed Stainless Font Kit with SS Duotigh Shot shank and Black handle (Without Tap),9,18,63,$25.88,$29.58,$35.74
KL00499,Triple Tap Brushed Stainless Font Kit with SS Duotigh Shot shank and Black handle (Without Tap),9,18,63,$31.61,$36.12,$43.65
KL00710,"Single EVA Beer Line Set, 7 in 1 spanner (for font kit)",40,40,80,$2.10,$2.40,$2.90
KL00727,"Double EVA Beer Line Set , 7 in 1 spanner and Duotight tee (for font kit) With Duotight Pushin",30,30,90,$3.20,$3.66,$4.42
KL00734,"Triple EVA Beer Line Set, 7 in 1 spanner and 2 x Duotight tee (for font kit) With Duotight Pushin",30,30,90,$4.31,$4.92,$5.95
KL00741,Cobra Singal Tap Flooded Font,6,6,60,$45.15,$51.60,$62.35
KL00758,Cobra Dual Tap Flooded Font,6,6,60,$50.40,$57.60,$69.60
KL00765,Cobra Triple Tap Flooded Font,4,4,60,$69.30,$79.20,$95.70
KL00772,T-Bar Flooded Font - Single Tap (Chrome Plated Stainless),1,4,30,$98.45,$111.80,$134.05
KL00789,T-Bar Flooded Font - Double Tap (Chrome Plated Stainless),1,2,30,$181.40,$206.60,$248.60
KL00796,T-Bar Flooded Font - Triple Tap (Chrome Plated Stainless),1,2,30,$186.65,$212.60,$255.85
KL00802,FOAM ON BEER DETECTORS (FOBS),18,18,36,$37.75,$43.00,$51.75
KL00819,Font Fan Kit,24,48,192,$6.88,$7.72,$9.12
KL00826,Carbonation & Line Cleaning Cap,100,100,300,$3.78,$4.32,$5.22
KL00833,Cornelius Type Ball Lock Post 5/8 Gas,360,100,360,$3.05,$3.48,$4.21
KL00840,Cornelius Type Ball Lock Post 5/8 Liguid,360,100,360,$3.05,$3.48,$4.21
KL00871,Decal Holder Plastic 73MM Chrome,24/192,192,768,$1.21,$1.38,$1.67
KL00888,Decal Holder Plastic 82MM Chrome,24/192,192,768,$1.31,$1.50,$1.81
KL00895,Decal Holder Plastic 73MM Copper,24/192,192,768,$1.79,$2.04,$2.47
KL00901,Decal Holder Plastic 82MM Copper,24/192,192,768,$1.84,$2.10,$2.54
KL00918,Decal Holder Brass,,100,"1,000",$4.94,$5.64,$6.82
KL00949,Pluto Beer Gun S.S,35,20,200,$16.80,$19.20,$23.20
KL00956,Stainless / Nylon Composite Pluto Gun,80,20,560,$2.84,$3.24,$3.92
KL00963,Picnic/Bronco Party Tap,500,200,"2,000",$0.34,$0.38,$0.46
KL00970,Intertap SS (Stainless Steel),54,20,216,$10.92,$12.48,$15.08
KL00987,Intertap PC (Chrome Plated Brass),54,20,216,$6.41,$7.32,$8.85
KL00994,Intertap &Nukatap Self Closing Tap spring 62mm x Φ1.5mm,500,20,500,$0.15,$0.17,$0.20
KL01021,Stout Spout (Nukatap & Intertap),400,20,400,$2.89,$3.16,$3.61
KL01038,Growler Spout with Threaded (Nukatap & Intertap),500,20,500,$1.84,$1.96,$2.16
KL01045,Growler Spout with Push in type with O-rings (Nukatap & Intertap),,20,400,$1.20,$1.30,$1.47
KL01052,Liquid Ball Lock Spout,,20,400,$2.76,$3.08,$3.62
KL01069,Standard SS Spout 30mm x 10mm ID,,20,400,$1.29,$1.40,$1.59
KL01076,Short Shank - Chrome Plated Brass,120,20,360,$2.42,$2.76,$3.34
KL01083,100mm Long Shank - Chrome Plated Brass,50,20,200,$6.41,$7.32,$8.85
KL01090,"Short Shank - Stainless Steel （Barb Tail, with 5/8 Hex Nut ）",200,20,200,$3.89,$4.44,$5.37
KL01106,Short Shank - Stainless Steel without barb tail and Angle Collar,200,20,200,$3.26,$3.72,$4.50
KL01113,"100mm Long Shank - Stainless Steel（Barb Tail, with 5/8 Hex Nut & EPDM Washer）",40,20,120,$9.24,$10.56,$12.76
KL01120,"150mm Long Shank - Stainless Steel （Barb Tail, with 5/8 Hex Nut & EPDM Washer）",40,20,120,$13.55,$15.48,$18.71
KL01137,Short Shank - Stainless Steel (6.5mm1/4'' Tail suits Duotight -6.5mm 1/4' Reducer),300,50,300,$3.89,$4.44,$5.37
KL01151,Flow Control Shank Adaptor,,10,100,$5.67,$6.48,$7.83
KL01168,Seal Kit For Intertap SS&PC - 8022 & 8039,,50,500,$0.37,$0.42,$0.51
KL01199,5 in 1 Faucet Spanner/Wrench,200/bag,30,400,$0.34,$0.38,$0.46
KL01212,Party Pump Kit,,5,80,$12.08,$13.80,$16.68
KL01229,Bottle Filler Beer Gun,20,10,100,$16.23,$18.40,$22.03
KL01236,Replacement silicone Tip,,20,400,$0.42,$0.48,$0.58
KL01243,Stainless Tee Type Counter Pressure Bottle Filler,1,10,100,$23.10,$26.40,$31.90
KL01250,S.S False Bottom 30cm (-1 x Stainless elbow bend 1/2 BSP - 2 x Stainless nut 1/2 BSP),10,10,100,$8.56,$9.78,$11.82
