SKU#,Order,SUM of Qty,SUM of Total,unitprice,Scaled Qty,mediumbreak,MOQ,Break
KB02113,Fermzillia Red Plastic Pressure kit-G2,5,$36.40,$7.28,5,100,5,small
KL01007,Intertap - FC,1,$0.00,$0.00,0,20,0,small
KL01151,Flow Control Shank Adaptor,2,$15.66,$7.83,4,10,4,small
KL01229,Bottle Filler Beer Gun,1,$22.03,$22.03,2,10,2,small
KL01397,40cm Door Mounted Drip Trays,2,$44.96,$22.48,2,25,2,small
KL01403,30cm Counter Top Drip Tray,3,$44.82,$14.94,3,20,3,small
KL01489,2.6kg CO2 Gas Cylinders,5,$203.00,$40.60,1,20,1,small
KL01496,6.0kg CO2 Gas Cylinders,2,$104.40,$52.20,1,20,1,small
KL01564,"30L Pail Fermenter - With Airlock, Temp Stick, Tap",4,$39.72,$9.93,4,30,4,small
KL02042,10inch Beer Filtering System,5,$53.65,$10.73,3,48,3,small
KL02059,1 Micron Absolute Reinforced Washable Cartridge,11,$44.66,$4.06,8,50,8,small
KL02707,Carbonation Keg Lid with 0.5 M Diffusion Stone,3,$50.04,$16.68,2,60,2,small
KL02882,9.5L Ball Lock Keg with rubber base and handle NSF,5,$297.25,$59.45,1,10,1,small
KL02899,19L Ball Lock Keg with rubber base and handle NSF,17,$877.20,$51.60,1,10,1,medium
KL02929,Parka for 9.5L Kegs (Super Thick Black),5,$23.95,$4.79,7,65,7,small
KL02967,Premium Ball Lock Disconnect - MFL (Grey/Gas),34,$51.68,$1.52,20,100,20,small
KL02974,Premium Ball Lock Disconnect - MFL (Black Liquid),40,$60.80,$1.52,20,100,20,small
KL03117,Ball Lock Seal Kit,12,$9.36,$0.78,39,10,10,medium
KL03247,MFL Tap Shank Adaptor - Stainless Steel,19,$44.46,$2.34,13,10,10,medium
KL03254,MaltMuncher Grain Mill 2 Roller,1,$55.10,$55.10,1,6,1,small
KL03797,Stainless Steel Mash Paddle (76cm) (Heavy Duty),2,$40.60,$20.30,2,20,2,small
KL03841,High Temperature Magnetic Drive Pump 25watts (220-240v),1,$36.25,$36.25,1,10,1,small
KL04169,Pen Style PH Meter,4,$102.60,$25.65,2,36,2,small
KL04176,Replacement Electrode/Probe for Pen Style PH Meter,2,$14.18,$7.09,5,50,5,small
KL04282,The Vacuum Insulated Growler – 2Litre,12,$119.52,$9.96,4,12,4,medium
KL04299,Growler Drafto Kit,10,$58.00,$5.80,6,10,6,medium
KL04664,American White Oak barrel 10L (Medium toast),8,$691.20,$86.40,1,8,1,medium
KL04688,Hop Spider,8,$53.76,$6.72,5,5,5,medium
KL04831,RoboJacket/BrewZilla Jacket 35L (Neoprene Parka),12,$84.00,$7.00,5,5,5,medium
KL05470,High Temperature Magnetic Drive Pump 25watts (110-120v),1,$36.25,$36.25,1,10,1,small
KL05821,Gen 3.1.1 Brewzilla with Pump 1900/500w - 220-240V AC,16,"$3,334.40",$208.40,1,10,1,medium
KL05906,29L Kegmenter with 4inch Lid with Ball Lock Posts (KL05890),1,$117.45,$117.45,1,6,1,small
KL06224,EVABarrier 4mm(5/32) x 8mm(5/16) Double Wall EVA (12meter Length in Bag),13,$60.32,$4.64,7,50,7,small
KL06231,EVABarrier 5mm(13/64) x 8mm(5/16) Double Wall EVA (12meter Length in Bag),4,$14.20,$3.55,9,50,9,small
KL06309,Brewzilla 35L & 65L - Main Circuit board,3,$32.19,$10.73,3,5,3,small
KL06316,Brewzilla 35L & 65L - LCD,7,$23.52,$3.36,9,5,5,medium
KL06354,Mini Keg - 4L (approx 128oz) (135mm x 280mm),2,$40.60,$20.30,2,50,2,small
KL06361,Mini Keg - 5L (approx 170oz) (175mm x 326mm),9,$233.64,$25.96,2,54,2,small
KL06378,Mini Keg - 8L (approx 270oz) (175mm x 406mm),1,$30.45,$30.45,1,50,1,small
